As of Date,Region,Total Patients Hospitalized,Total Patients in ICU
03/26/2020,CAPITAL REGION,40,13
03/26/2020,CENTRAL NEW YORK,20,4
03/26/2020,FINGER LAKES,39,23
03/26/2020,LONG ISLAND,1082,303
03/26/2020,MID-HUDSON,493,126
03/26/2020,MOHAWK VALLEY,12,7
03/26/2020,NEW YORK CITY,4733,1084
03/26/2020,NORTH COUNTRY,4,1
03/26/2020,SOUTHERN TIER,9,3
03/26/2020,WESTERN NEW YORK,49,19
03/27/2020,CAPITAL REGION,40,12
03/27/2020,CENTRAL NEW YORK,21,5
03/27/2020,FINGER LAKES,45,22
03/27/2020,LONG ISLAND,1310,345
03/27/2020,MID-HUDSON,577,161
03/27/2020,MOHAWK VALLEY,12,8
03/27/2020,NEW YORK CITY,5256,1175
03/27/2020,NORTH COUNTRY,4,1
03/27/2020,SOUTHERN TIER,9,3
03/27/2020,WESTERN NEW YORK,54,23
03/28/2020,CAPITAL REGION,59,22
03/28/2020,CENTRAL NEW YORK,25,12
03/28/2020,FINGER LAKES,50,29
03/28/2020,LONG ISLAND,1557,393
03/28/2020,MID-HUDSON,687,189
03/28/2020,MOHAWK VALLEY,15,9
03/28/2020,NEW YORK CITY,6002,1337
03/28/2020,NORTH COUNTRY,4,1
03/28/2020,SOUTHERN TIER,12,5
03/28/2020,WESTERN NEW YORK,92,40
03/29/2020,CAPITAL REGION,67,35
03/29/2020,CENTRAL NEW YORK,28,10
03/29/2020,FINGER LAKES,56,33
03/29/2020,LONG ISLAND,1768,447
03/29/2020,MID-HUDSON,834,246
03/29/2020,MOHAWK VALLEY,19,11
03/29/2020,NEW YORK CITY,6631,1520
03/29/2020,NORTH COUNTRY,6,1
03/29/2020,SOUTHERN TIER,19,7
03/29/2020,WESTERN NEW YORK,89,42
03/30/2020,CAPITAL REGION,80,38
03/30/2020,CENTRAL NEW YORK,32,12
03/30/2020,FINGER LAKES,61,36
03/30/2020,LONG ISLAND,2020,534
03/30/2020,MID-HUDSON,951,289
03/30/2020,MOHAWK VALLEY,20,14
03/30/2020,NEW YORK CITY,7630,1724
03/30/2020,NORTH COUNTRY,8,3
03/30/2020,SOUTHERN TIER,24,12
03/30/2020,WESTERN NEW YORK,103,48
03/31/2020,CAPITAL REGION,94,40
03/31/2020,CENTRAL NEW YORK,40,18
03/31/2020,FINGER LAKES,73,42
03/31/2020,LONG ISLAND,2368,640
03/31/2020,MID-HUDSON,1061,314
03/31/2020,MOHAWK VALLEY,19,10
03/31/2020,NEW YORK CITY,8403,1888
03/31/2020,NORTH COUNTRY,8,3
03/31/2020,SOUTHERN TIER,25,11
03/31/2020,WESTERN NEW YORK,135,56
04/01/2020,CAPITAL REGION,105,45
04/01/2020,CENTRAL NEW YORK,38,19
04/01/2020,FINGER LAKES,84,44
04/01/2020,LONG ISLAND,2673,717
04/01/2020,MID-HUDSON,1201,359
04/01/2020,MOHAWK VALLEY,22,11
04/01/2020,NEW YORK CITY,9091,2124
04/01/2020,NORTH COUNTRY,8,3
04/01/2020,SOUTHERN TIER,23,11
04/01/2020,WESTERN NEW YORK,138,63
04/02/2020,CAPITAL REGION,128,52
04/02/2020,CENTRAL NEW YORK,40,20
04/02/2020,FINGER LAKES,93,51
04/02/2020,LONG ISLAND,3295,836
04/02/2020,MID-HUDSON,1321,404
04/02/2020,MOHAWK VALLEY,29,15
04/02/2020,NEW YORK CITY,9681,2248
04/02/2020,NORTH COUNTRY,7,3
04/02/2020,SOUTHERN TIER,29,10
04/02/2020,WESTERN NEW YORK,187,92
04/03/2020,CAPITAL REGION,149,58
04/03/2020,CENTRAL NEW YORK,39,21
04/03/2020,FINGER LAKES,93,48
04/03/2020,LONG ISLAND,3533,939
04/03/2020,MID-HUDSON,1457,456
04/03/2020,MOHAWK VALLEY,31,13
04/03/2020,NEW YORK CITY,10370,2477
04/03/2020,NORTH COUNTRY,11,3
04/03/2020,SOUTHERN TIER,29,11
04/03/2020,WESTERN NEW YORK,193,100
04/04/2020,CAPITAL REGION,159,65
